sample	IL1	IL6	IL10	IL17	IL22	TNF¦Á	INF¦Ã	sIgA	ALT	AST
x1	152.55925	133.3951	586.92875	63.72015	57.56265	984.12925	90.98305	35.4269	7	60
x2	221.1179	160.7116	491.89905	37.39575	48.0362	1175.0791	131.48325	23.8691	13.9	89
x3	152.42655	159.77295	501.68255	53.1477	42.8831	1236.96635	96.10105	46.77925	11.2	62
x4	250.1983	163.1148	646.86675	55.013	52.48205	1252.5477	139.2196	41.3209	12.1	43
x5	196.79565	115.4574	551.32205	40.0414	52.54165	1321.65685	106.3716	23.97715	14.4	49
x6	210.71925	147.5242	670.88305	52.31555	53.3502	1273.1	125.56515	42.75175	5.5	46
x7	236.5716	178.16095	563.87855	54.06685	56.75935	1198.7142	139.60745	30.8734	8.5	62
x8	201.7344	147.9205	589.4695	75.2446	70.19905	1040.1204	91.21905	43.91355	8	65
y1	179.6098	111.55925	751.6728	43.9369	65.75705	970.05255	90.89725	33.64255	12.8	76
y2	155.4474	162.31165	418.31665	54.6306	38.6277	1027.9468	108.8594	41.0146	11.9	66
y3	182.9651	177.43975	579.2998	40.1552	45.02695	1441.71215	116.95805	35.1329	16.6	101
y4	139.2666	124.5171	527.8687	35.07475	37.6576	963.15425	84.5261	38.45385	4	12
y5	87.06535	89.0415	871.83615	54.1073	69.24215	749.89905	71.6634	57.61145	14.4	83
y6	103.5826	51.8928	703.13675	43.77515	50.069	601.13255	70.50805	50.68115	13.7	61
y7	135.65975	97.4244	724.86355	53.53715	57.9446	645.5768	71.4429	24.8831	9.7	63
y8	110.4344	73.2742	502.97325	61.20425	58.7025	715.86115	66.37745	31.059	8	78
z1	123.3081	84.72485	499.3395	27.60895	42.52875	746.1082	45.4285	35.5652	12.3	68
z2	112.40135	101.28425	550.19745	41.2863	49.8313	704.0469	40.32785	46.8766	10	80
z3	99.55495	75.75575	609.6121	34.46625	66.84865	650.01825	42.3804	42.87655	9	45
z4	72.2736	58.84805	598.54275	52.4468	44.4203	422.35265	32.75025	46.6887	6.8	60
z5	61.3612	67.4368	650.68145	42.9653	76.5335	447.6825	43.22165	49.10375	16.1	40
z6	57.91095	69.5626	877.7813	58.12025	59.87215	525.54115	40.01985	61.156	11.1	72
z7	87.3793	48.1562	482.60045	38.56855	35.33525	463.29085	24.87665	37.1981	6.9	55
z8	89.035	66.98355	547.1174	30.7581	45.9416	570.70935	52.746	42.00185	8.2	47
