# Constructed from biom file
#OTU ID	x1	x2	x3	x4	x5	x6	x7	x8	y1	y2	y3	y4	y5	y6	y7	y8	z1	z2	z3	z4	z5	z6	z7	z8
OTU_1	68.0	81.0	3805.0	12091.0	53.0	8990.0	113.0	4219.0	8862.0	77.0	3097.0	912.0	1861.0	6448.0	1723.0	4235.0	682.0	9588.0	98.0	158.0	3931.0	2059.0	1394.0	5842.0
OTU_2	1627.0	7609.0	3672.0	253.0	704.0	9586.0	566.0	517.0	394.0	2380.0	3400.0	891.0	7706.0	3756.0	3455.0	5534.0	2753.0	3359.0	5548.0	1318.0	1437.0	1628.0	632.0	1670.0
OTU_3	520.0	280.0	629.0	590.0	2083.0	106.0	463.0	1339.0	4284.0	4502.0	488.0	4205.0	587.0	2382.0	1022.0	1315.0	837.0	242.0	228.0	409.0	4659.0	4670.0	1497.0	880.0
OTU_4	6264.0	224.0	605.0	676.0	99.0	29.0	60.0	5805.0	1999.0	1109.0	1169.0	250.0	599.0	185.0	3579.0	121.0	491.0	146.0	1033.0	71.0	459.0	560.0	172.0	4466.0
OTU_5	5494.0	3158.0	65.0	192.0	2054.0	41.0	1813.0	61.0	135.0	2475.0	575.0	2589.0	873.0	39.0	137.0	126.0	61.0	1291.0	7579.0	12310.0	576.0	695.0	808.0	420.0
OTU_6	1143.0	19.0	27.0	22.0	336.0	2860.0	6741.0	1187.0	12.0	15.0	13.0	9.0	41.0	215.0	3717.0	2186.0	2707.0	1540.0	2058.0	21.0	262.0	2221.0	9.0	1724.0
OTU_7	318.0	720.0	81.0	524.0	885.0	856.0	1267.0	81.0	39.0	912.0	573.0	176.0	380.0	934.0	288.0	188.0	122.0	2977.0	727.0	341.0	1462.0	646.0	434.0	17.0
OTU_8	869.0	2443.0	7069.0	1823.0	518.0	100.0	2200.0	640.0	65.0	673.0	3801.0	308.0	1569.0	1304.0	597.0	1648.0	928.0	809.0	1294.0	2388.0	171.0	837.0	308.0	2033.0
OTU_9	464.0	214.0	1211.0	632.0	425.0	117.0	719.0	234.0	45.0	2096.0	742.0	1948.0	168.0	158.0	228.0	516.0	1489.0	159.0	341.0	82.0	551.0	1893.0	2491.0	414.0
OTU_10	360.0	9.0	57.0	1054.0	466.0	445.0	208.0	142.0	3069.0	246.0	1297.0	510.0	1158.0	32.0	785.0	80.0	119.0	1319.0	1831.0	3496.0	1028.0	1609.0	329.0	30.0
OTU_11	1285.0	3664.0	1028.0	4214.0	3125.0	2110.0	623.0	1159.0	1158.0	763.0	790.0	409.0	585.0	1769.0	604.0	946.0	617.0	1682.0	1511.0	1770.0	532.0	820.0	24.0	220.0
OTU_12	2084.0	101.0	289.0	101.0	169.0	37.0	115.0	658.0	458.0	829.0	436.0	644.0	75.0	503.0	343.0	381.0	1461.0	105.0	164.0	65.0	978.0	245.0	2140.0	2217.0
OTU_13	105.0	321.0	799.0	659.0	278.0	399.0	84.0	644.0	631.0	493.0	59.0	75.0	80.0	203.0	774.0	132.0	107.0	389.0	1139.0	191.0	30.0	166.0	3.0	78.0
OTU_14	476.0	1638.0	145.0	39.0	216.0	108.0	150.0	10.0	2633.0	1362.0	42.0	4.0	34.0	679.0	47.0	38.0	77.0	168.0	338.0	1099.0	649.0	73.0	18.0	7.0
OTU_15	3.0	991.0	122.0	1.0	1.0	5.0	11.0	126.0	259.0	342.0	4.0	76.0	269.0	484.0	327.0	122.0	3.0	467.0	374.0	379.0	345.0	8.0	16.0	5.0
OTU_16	786.0	365.0	550.0	12.0	12.0	180.0	200.0	32.0	15.0	157.0	595.0	429.0	381.0	391.0	7.0	2751.0	29.0	1297.0	40.0	2256.0	768.0	854.0	5.0	275.0
OTU_17	39.0	1488.0	4.0	5.0	7.0	4.0	6.0	12.0	687.0	7.0	28.0	12.0	67.0	7.0	162.0	7.0	8.0	9.0	6.0	5.0	38.0	19.0	2649.0	52.0
OTU_18	60.0	0.0	1128.0	1.0	8.0	3.0	1097.0	100.0	1.0	182.0	219.0	70.0	1.0	2.0	271.0	39.0	705.0	16.0	17.0	6.0	0.0	25.0	5.0	5.0
OTU_19	2.0	1500.0	57.0	8.0	5.0	301.0	1896.0	50.0	137.0	91.0	676.0	2.0	1381.0	130.0	285.0	62.0	375.0	54.0	24.0	10.0	7.0	22.0	5.0	32.0
OTU_20	761.0	103.0	153.0	268.0	740.0	107.0	485.0	930.0	236.0	478.0	384.0	1984.0	94.0	470.0	158.0	421.0	1111.0	158.0	99.0	94.0	365.0	490.0	1164.0	249.0
OTU_21	376.0	12.0	60.0	266.0	353.0	16.0	136.0	101.0	44.0	590.0	172.0	1577.0	68.0	28.0	162.0	70.0	108.0	60.0	33.0	85.0	143.0	390.0	440.0	144.0
OTU_22	42.0	1112.0	53.0	177.0	92.0	521.0	183.0	104.0	5.0	90.0	88.0	55.0	749.0	129.0	973.0	1316.0	107.0	134.0	152.0	235.0	57.0	1037.0	215.0	95.0
OTU_23	439.0	5.0	37.0	173.0	1709.0	170.0	59.0	95.0	61.0	121.0	12.0	262.0	190.0	229.0	434.0	239.0	60.0	110.0	334.0	119.0	23.0	1265.0	580.0	969.0
OTU_24	9.0	4.0	6.0	8.0	166.0	78.0	1256.0	633.0	4.0	3.0	8.0	3.0	1991.0	4.0	1452.0	154.0	575.0	459.0	591.0	2.0	211.0	513.0	1.0	170.0
OTU_25	166.0	19.0	35.0	31.0	83.0	12.0	25.0	215.0	101.0	503.0	193.0	276.0	8.0	105.0	30.0	252.0	55.0	40.0	166.0	27.0	285.0	68.0	91.0	85.0
OTU_26	1818.0	4.0	13.0	29.0	452.0	25.0	131.0	498.0	18.0	50.0	123.0	539.0	91.0	6.0	592.0	30.0	940.0	123.0	154.0	34.0	277.0	615.0	268.0	10.0
OTU_27	6.0	8.0	7.0	9.0	10.0	9.0	1782.0	110.0	4.0	4.0	402.0	3.0	1256.0	6.0	24.0	37.0	4.0	8.0	14.0	14.0	3863.0	76.0	3.0	6.0
OTU_28	1232.0	25.0	125.0	108.0	240.0	208.0	27.0	289.0	63.0	332.0	442.0	131.0	7.0	119.0	1164.0	109.0	3964.0	128.0	92.0	70.0	44.0	324.0	85.0	13.0
OTU_29	261.0	249.0	148.0	153.0	499.0	194.0	181.0	828.0	327.0	330.0	116.0	96.0	230.0	185.0	243.0	92.0	71.0	324.0	298.0	314.0	537.0	155.0	15.0	200.0
OTU_30	21.0	5.0	295.0	729.0	2032.0	328.0	692.0	3227.0	13.0	29.0	106.0	17.0	53.0	12.0	890.0	17.0	1479.0	350.0	1308.0	9.0	96.0	18.0	1750.0	90.0
OTU_31	13.0	2.0	12.0	53.0	1180.0	5.0	22.0	17.0	60.0	19.0	13.0	71.0	1.0	118.0	5.0	33.0	16.0	3.0	7.0	7.0	24.0	30.0	550.0	17.0
OTU_32	32.0	1.0	467.0	7.0	0.0	1.0	8.0	9.0	0.0	0.0	277.0	68.0	2001.0	53.0	46.0	20.0	1.0	5.0	10.0	188.0	3.0	12.0	1.0	2.0
OTU_33	185.0	71.0	82.0	4.0	178.0	52.0	90.0	397.0	143.0	609.0	100.0	215.0	7.0	308.0	41.0	21.0	1262.0	84.0	82.0	64.0	63.0	125.0	367.0	813.0
OTU_34	118.0	5.0	11.0	80.0	95.0	15.0	34.0	24.0	21.0	204.0	79.0	370.0	4.0	161.0	23.0	59.0	95.0	16.0	61.0	39.0	28.0	68.0	334.0	34.0
OTU_35	65.0	66.0	1185.0	33.0	115.0	126.0	271.0	21.0	137.0	248.0	547.0	146.0	120.0	272.0	224.0	217.0	174.0	138.0	139.0	299.0	79.0	212.0	310.0	246.0
OTU_36	115.0	106.0	29.0	16.0	246.0	10.0	117.0	26.0	6.0	88.0	105.0	36.0	240.0	13.0	44.0	16.0	95.0	38.0	74.0	13.0	4.0	30.0	382.0	17.0
OTU_37	20.0	3.0	52.0	151.0	80.0	18.0	93.0	46.0	30.0	255.0	170.0	69.0	3.0	196.0	58.0	81.0	133.0	56.0	60.0	52.0	73.0	116.0	108.0	278.0
OTU_38	111.0	6.0	9.0	10.0	10.0	4.0	1.0	3.0	10.0	139.0	906.0	13.0	55.0	1836.0	34.0	404.0	82.0	302.0	14.0	10.0	9.0	11.0	812.0	9.0
OTU_39	186.0	380.0	245.0	460.0	165.0	151.0	217.0	442.0	2.0	225.0	262.0	46.0	273.0	270.0	112.0	128.0	148.0	288.0	190.0	436.0	20.0	84.0	1.0	306.0
OTU_40	31.0	6.0	167.0	55.0	29.0	14.0	11.0	505.0	47.0	170.0	37.0	56.0	1.0	15.0	14.0	59.0	35.0	9.0	51.0	6.0	4.0	37.0	28.0	715.0
OTU_41	161.0	135.0	63.0	158.0	78.0	32.0	46.0	227.0	132.0	273.0	163.0	84.0	24.0	108.0	41.0	261.0	355.0	35.0	40.0	25.0	43.0	152.0	270.0	324.0
OTU_42	15.0	4.0	10.0	71.0	43.0	128.0	5.0	40.0	24.0	162.0	739.0	6.0	30.0	11.0	201.0	176.0	14.0	20.0	31.0	3.0	2.0	15.0	297.0	5.0
