OTU ID	A	B	C	D	E	F	G	P	Q	R	S	T	U	V
OTU1	11	10.33333333	26.33333333	31.66666667	12.66666667	11.66666667	17	35.33333333	7	22.66666667	6	19	14.66666667	9
OTU3	46	91	411.3333333	757.3333333	7687.333333	362.3333333	466	18.66666667	175.6666667	129.3333333	24.33333333	21	72.66666667	10.33333333
OTU4	3141.666667	1336.333333	41	82.33333333	48	965	1291.333333	1619	1831	2055.666667	122.6666667	2.333333333	3.666666667	3.666666667
OTU39	1338.333333	472.6666667	1998	2876.333333	988	446.6666667	1133.666667	101.6666667	543	1362	256	2304.333333	2565.666667	202.3333333
OTU11	1031.666667	1604.333333	18.66666667	14.33333333	53.66666667	86.33333333	595.6666667	3031.666667	1647.666667	2786.333333	232	6.333333333	11.33333333	6
OTU59	1241.666667	385.6666667	48.66666667	287.6666667	243.3333333	223	219.3333333	1512.333333	621.3333333	596.6666667	252.3333333	592.6666667	29.33333333	17.33333333
OTU6	6	5	6.666666667	7	4	4.333333333	4.666666667	7	6.333333333	16.66666667	6.333333333	6.333333333	7.333333333	4
OTU5	19	2919.666667	3811.333333	16.66666667	5.333333333	1792.333333	2712.333333	255.3333333	13.33333333	39.66666667	6.333333333	2.666666667	3.666666667	3.333333333
OTU71	530	278.3333333	3295.333333	851	48	329.6666667	552.6666667	39	219	551	20	387.6666667	4025.666667	148.3333333
OTU10	70.33333333	3266.333333	627	1547.666667	654.6666667	483	2120	751.3333333	113.3333333	445	10	3.666666667	2.666666667	3
OTU7	15	6.666666667	5.333333333	6.333333333	5.333333333	5.666666667	4	9.333333333	7	7	9	5.333333333	3.666666667	2.333333333
OTU15	2.666666667	3.666666667	4.666666667	7.333333333	2.666666667	5.333333333	2	683.3333333	3.333333333	27.33333333	11.66666667	5.333333333	5.333333333	3.333333333
OTU8	3.333333333	6.333333333	7.666666667	5.333333333	6.666666667	7.333333333	8	6.333333333	6	6.333333333	5.333333333	6.333333333	10.66666667	8.666666667
OTU25	5510	773.6666667	9	481	275.6666667	781.3333333	140	179.6666667	363.6666667	151.6666667	40.33333333	17.66666667	6.333333333	3.666666667
OTU14	2.333333333	2	7	6	4	2.666666667	2.333333333	39	3	44.66666667	1	4	5.666666667	3
OTU9	13.33333333	7	9.666666667	5.333333333	7.666666667	6.333333333	2.333333333	13.66666667	4.666666667	6.666666667	4.333333333	3.666666667	3.666666667	2.333333333
OTU19	561.6666667	101.3333333	1694	792	628.6666667	271	298.6666667	626.3333333	88.33333333	1122	47.66666667	1140.666667	499.3333333	437.6666667
OTU16	29.33333333	4.333333333	6	4.666666667	5.666666667	3	6.333333333	33.33333333	12	27.33333333	14.33333333	2.666666667	4.666666667	2.333333333
OTU12	2.666666667	6.666666667	4.666666667	6	3.666666667	6.333333333	4	702	7423.666667	11	3.333333333	2.333333333	5	2.666666667
OTU13	1.666666667	3.666666667	7.333333333	5	5.666666667	5	4	6.333333333	3.333333333	4	14.66666667	7.333333333	6.333333333	5
OTU36	3.333333333	16.66666667	4.333333333	6.333333333	3.666666667	14.33333333	14.33333333	224.6666667	150	20.66666667	1437	2.333333333	3.666666667	1
OTU12051	6	6.333333333	2	3.666666667	4.666666667	3.666666667	3.333333333	6	4	4	4	2	2.333333333	2
OTU1369	44.33333333	51.66666667	1097.666667	494	50.33333333	84.66666667	704.6666667	21	85.33333333	1011	58.66666667	26	688	6.666666667
OTU21	381.6666667	219.6666667	826.3333333	805.6666667	849.6666667	505.3333333	234.3333333	39.33333333	17.33333333	277	6	364	593.6666667	290.3333333
OTU26	8.333333333	6.666666667	9.666666667	9.333333333	7.333333333	10	8.333333333	17.33333333	193.6666667	66.33333333	321	13.66666667	10.33333333	5.666666667
OTU33	4	114.3333333	497.3333333	177	62	119	225	18	10	12	7	565	2051.666667	1465.666667
OTU22	3984.666667	105	8.333333333	27	2.333333333	61.66666667	74.66666667	4.333333333	91.33333333	101	321.6666667	3	7	4.666666667
OTU50	205.3333333	324.6666667	49.66666667	5.333333333	17.66666667	98.66666667	60	329.3333333	442.6666667	630.3333333	577.6666667	2.666666667	1.333333333	3.666666667
OTU280	54	12.33333333	3	4.666666667	5.666666667	7.333333333	8	118	128	111	275.3333333	3	2.333333333	3
OTU28	198.3333333	306.6666667	119.3333333	563.6666667	272.3333333	219.6666667	746	225.6666667	93.66666667	73	45.33333333	990.3333333	284.3333333	69
OTU32	50	79.33333333	19.33333333	13	63.66666667	146.6666667	115.6666667	890.3333333	439.6666667	192.3333333	580	9	7.333333333	3.666666667
OTU23	5.333333333	4.333333333	7.666666667	4	4	1.333333333	1.333333333	8	2.666666667	6.333333333	2.666666667	5.666666667	3	3.333333333
OTU24	6.333333333	243.3333333	10	110.3333333	552.3333333	184	227	2	5	3.666666667	5	6	1276	1820
OTU58	37.33333333	31.33333333	12.33333333	10.33333333	19.66666667	23.33333333	16	544.3333333	271.6666667	579.6666667	670	12.66666667	22	14.66666667
