sample	T	TN	TP	NH4	NO2	NO3	PH	Salinity
A	29.2	1.55	0.65	1.23	0.02	0.09	8.28	4.47
B	29.6	1.02	1.02	0.01	0.02	0.08	8.35	7.56
C	27.7	1.91	0.75	0.19	0.06	0.06	9.05	11.76
D	29.1	1.02	0.62	0.1	0.03	0.03	9.21	13.35
E	28.1	2.58	0.78	1.69	0.04	0.13	9.07	10.76
F	32.4	2.41	0.68	0.11	0.09	0.02	9.81	6.89
G	31.6	2.36	1.32	1.48	0.1	0.06	9.21	7.16
P	23.84	5.14	0.69	0.71	0.02	2.08	7.85	1.99
Q	24.16	5.15	0.3	0.44	0.01	0.06	8.43	1.57
R	24.02	5.11	0.22	3.24	0.13	0.4	8.45	2.27
S	23.99	5.15	0.18	2.51	0.07	0.23	8.29	0.63
T	32.33	0.6	0.16	0.08	0.07	0.01	8.42	29.23
U	32.16	1.87	1.05	0.19	0.34	0.51	8.1	29.51
V	31.74	1.89	0.82	0.17	0.24	0.22	8.23	32.71
